"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (20260615)","Sessions (20260615)","Sessions with cart additions (20260615)","Sessions that reached checkout (20260615)","Sessions that completed checkout (20260615)","Conversion rate (20260615)","Pageviews (20260615)","Checkout conversion rate (20260615)","Added to cart rate (20260615)","Reached checkout rate (20260615)","Sessions that reached and completed checkout (20260615)","Average session duration (20260615)","Pageviews per session (20260615)","Bounce rate (20260615)","Completed checkout rate (20260615)","Bounces (20260615)","Online store visitors (20260615) ","Sessions (20260615) ","Sessions with cart additions (20260615) ","Sessions that reached checkout (20260615) ","Sessions that completed checkout (20260615) ","Conversion rate (20260615) ","Pageviews (20260615) ","Checkout conversion rate (20260615) ","Added to cart rate (20260615) ","Reached checkout rate (20260615) ","Sessions that reached and completed checkout (20260615) ","Average session duration (20260615) ","Pageviews per session (20260615) ","Bounce rate (20260615) ","Completed checkout rate (20260615) ","Bounces (20260615) "
"Homepage","/",1102,1203,31,20,4,0.0033250207813798837,7210,0.2,0.025768911055694097,0.01662510390689942,4,294.47049044056524,5.99334995843724,0.2734829592684954,0.16666666666666666,329,1102,1203,31,20,4,0.0033250207813798837,7210,0.2,0.025768911055694097,0.01662510390689942,4,294.47049044056524,5.99334995843724,0.2734829592684954,0.16666666666666666,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/bbw-sex-doll-torso",978,1032,9,4,0,0,4533,0,0.00872093023255814,0.003875968992248062,0,208.3624031007752,4.392441860465116,0.37790697674418605,0,390,978,1032,9,4,0,0,4533,0,0.00872093023255814,0.003875968992248062,0,208.3624031007752,4.392441860465116,0.37790697674418605,0,390,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/robotic-sex-doll",989,1014,11,3,0,0,2886,0,0.010848126232741617,0.0029585798816568047,0,114.74753451676528,2.8461538461538463,0.5848126232741617,0,593,989,1014,11,3,0,0,2886,0,0.010848126232741617,0.0029585798816568047,0,114.74753451676528,2.8461538461538463,0.5848126232741617,0,593,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/full-doll",984,1008,19,8,0,0,4783,0,0.018849206349206348,0.007936507936507936,0,194.18353174603175,4.745039682539683,0.3501984126984127,0,353,984,1008,19,8,0,0,4783,0,0.018849206349206348,0.007936507936507936,0,194.18353174603175,4.745039682539683,0.3501984126984127,0,353,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/anime-sex-doll",887,924,4,2,0,0,3240,0,0.004329004329004329,0.0021645021645021645,0,129.42857142857142,3.5064935064935066,0.5281385281385281,0,488,887,924,4,2,0,0,3240,0,0.004329004329004329,0.0021645021645021645,0,129.42857142857142,3.5064935064935066,0.5281385281385281,0,488,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/sex-doll-head",775,803,17,5,0,0,4523,0,0.021170610211706103,0.0062266500622665,0,215.6002490660025,5.632627646326276,0.19053549190535493,0,153,775,803,17,5,0,0,4523,0,0.021170610211706103,0.0062266500622665,0,215.6002490660025,5.632627646326276,0.19053549190535493,0,153,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Blog Article","/blogs/featured-blog/how-to-make-fake-pussy",667,672,0,0,0,0,804,,0,0,0,26.726190476190474,1.1964285714285714,0.9002976190476191,,605,667,672,0,0,0,0,804,,0,0,0,26.726190476190474,1.1964285714285714,0.9002976190476191,,605,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/all",641,663,4,2,0,0,2386,0,0.006033182503770739,0.0030165912518853697,0,126.92458521870286,3.598793363499246,0.4781297134238311,0,317,641,663,4,2,0,0,2386,0,0.006033182503770739,0.0030165912518853697,0,126.92458521870286,3.598793363499246,0.4781297134238311,0,317,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/celebrity-sex-dolls",653,662,6,3,0,0,2448,0,0.00906344410876133,0.004531722054380665,0,167.54229607250755,3.697885196374622,0.46676737160120846,0,309,653,662,6,3,0,0,2448,0,0.00906344410876133,0.004531722054380665,0,167.54229607250755,3.697885196374622,0.46676737160120846,0,309,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/sex-doll-videos",584,603,1,1,0,0,1230,0,0.001658374792703151,0.001658374792703151,0,57.43615257048093,2.0398009950248754,0.7794361525704809,0,470,584,603,1,1,0,0,1230,0,0.001658374792703151,0.001658374792703151,0,57.43615257048093,2.0398009950248754,0.7794361525704809,0,470,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/vajankle-foot-fetish-toys",558,570,2,0,0,0,2065,,0.0035087719298245615,0,0,111.07894736842105,3.6228070175438596,0.44912280701754387,,256,558,570,2,0,0,0,2065,,0.0035087719298245615,0,0,111.07894736842105,3.6228070175438596,0.44912280701754387,,256,0,0,0,,,,0,,0,,,0,0,0,,0
"Blog Article","/blogs/featured-blog/how-to-diy-an-sex-doll-you",500,507,0,0,0,0,737,,0,0,0,45.59368836291913,1.4536489151873768,0.8481262327416174,,430,500,507,0,0,0,0,737,,0,0,0,45.59368836291913,1.4536489151873768,0.8481262327416174,,430,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/fake-ass-sex-toy",468,481,5,3,0,0,1373,0,0.010395010395010396,0.006237006237006237,0,113.77546777546777,2.8544698544698544,0.5467775467775468,0,263,468,481,5,3,0,0,1373,0,0.010395010395010396,0.006237006237006237,0,113.77546777546777,2.8544698544698544,0.5467775467775468,0,263,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/femboys-sex-doll",457,461,2,2,0,0,1628,0,0.004338394793926247,0.004338394793926247,0,126.88720173535792,3.531453362255965,0.4121475054229935,0,190,457,461,2,2,0,0,1628,0,0.004338394793926247,0.004338394793926247,0,126.88720173535792,3.531453362255965,0.4121475054229935,0,190,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/shemale-sex-doll-torso-1",426,438,4,1,0,0,1631,0,0.0091324200913242,0.00228310502283105,0,156.35159817351598,3.723744292237443,0.4589041095890411,0,201,426,438,4,1,0,0,1631,0,0.0091324200913242,0.00228310502283105,0,156.35159817351598,3.723744292237443,0.4589041095890411,0,201,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/furry-sex-doll",357,372,2,1,0,0,1177,0,0.005376344086021506,0.002688172043010753,0,115.1263440860215,3.163978494623656,0.5725806451612904,0,213,357,372,2,1,0,0,1177,0,0.005376344086021506,0.002688172043010753,0,115.1263440860215,3.163978494623656,0.5725806451612904,0,213,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/sex-doll-torso-dildo-for-woman",338,349,6,0,0,0,1164,,0.017191977077363897,0,0,167.23209169054442,3.335243553008596,0.48424068767908307,,169,338,349,6,0,0,0,1164,,0.017191977077363897,0,0,167.23209169054442,3.335243553008596,0.48424068767908307,,169,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/black-sex-dolls",286,297,4,0,0,0,1176,,0.013468013468013467,0,0,159.57912457912457,3.95959595959596,0.4276094276094276,,127,286,297,4,0,0,0,1176,,0.013468013468013467,0,0,159.57912457912457,3.95959595959596,0.4276094276094276,,127,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/boob-job-sex-toys",272,277,2,0,0,0,637,,0.007220216606498195,0,0,89.98916967509025,2.299638989169675,0.6389891696750902,,177,272,277,2,0,0,0,637,,0.007220216606498195,0,0,89.98916967509025,2.299638989169675,0.6389891696750902,,177,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/flat-chest-sex-doll",260,267,0,0,0,0,948,,0,0,0,165.29588014981275,3.550561797752809,0.46441947565543074,,124,260,267,0,0,0,0,948,,0,0,0,165.29588014981275,3.550561797752809,0.46441947565543074,,124,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/futa-sex-doll",232,238,0,0,0,0,833,,0,0,0,129.1218487394958,3.5,0.5,,119,232,238,0,0,0,0,833,,0,0,0,129.1218487394958,3.5,0.5,,119,0,0,,,,,0,,,,,0,0,0,,0
"Blog Article","/blogs/dolls-info-qustions/how-to-make-a-fake-ass-sex-toy",226,228,0,0,0,0,298,,0,0,0,51.38157894736842,1.3070175438596492,0.8421052631578947,,192,226,228,0,0,0,0,298,,0,0,0,51.38157894736842,1.3070175438596492,0.8421052631578947,,192,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/black-torso-sex-dolls",161,166,1,0,0,0,395,,0.006024096385542169,0,0,103.02409638554217,2.3795180722891565,0.5662650602409639,,94,161,166,1,0,0,0,395,,0.006024096385542169,0,0,103.02409638554217,2.3795180722891565,0.5662650602409639,,94,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/under-100",156,161,2,2,0,0,385,0,0.012422360248447204,0.012422360248447204,0,102.2111801242236,2.391304347826087,0.6583850931677019,0,106,156,161,2,2,0,0,385,0,0.012422360248447204,0.012422360248447204,0,102.2111801242236,2.391304347826087,0.6583850931677019,0,106,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/fake-pussy-fake-vagina-sex-toys",156,160,2,2,0,0,443,0,0.0125,0.0125,0,76.6875,2.76875,0.54375,0,87,156,160,2,2,0,0,443,0,0.0125,0.0125,0,76.6875,2.76875,0.54375,0,87,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/sex-doll-torso",153,159,4,1,0,0,963,0,0.025157232704402517,0.006289308176100629,0,318,6.056603773584905,0.2641509433962264,0,42,153,159,4,1,0,0,963,0,0.025157232704402517,0.006289308176100629,0,318,6.056603773584905,0.2641509433962264,0,42,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/enchanting-delights-2024-top-real-sex-doll-recommendations",149,154,1,0,0,0,505,,0.006493506493506494,0,0,155.30519480519482,3.279220779220779,0.4935064935064935,,76,149,154,1,0,0,0,505,,0.006493506493506494,0,0,155.30519480519482,3.279220779220779,0.4935064935064935,,76,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/huge-breasts-sex-dolls",145,152,1,0,0,0,576,,0.006578947368421052,0,0,172.57236842105263,3.789473684210526,0.4605263157894737,,70,145,152,1,0,0,0,576,,0.006578947368421052,0,0,172.57236842105263,3.789473684210526,0.4605263157894737,,70,0,0,0,,,,0,,0,,,0,0,0,,0
,"/de/collections/robotic-sex-doll",125,128,0,0,0,0,306,,0,0,0,81.28125,2.390625,0.6015625,,77,125,128,0,0,0,0,306,,0,0,0,81.28125,2.390625,0.6015625,,77,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/anime-pocket-pussy",126,126,0,0,0,0,318,,0,0,0,84.2063492063492,2.5238095238095237,0.6428571428571429,,81,126,126,0,0,0,0,318,,0,0,0,84.2063492063492,2.5238095238095237,0.6428571428571429,,81,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/shemale-sex-toy",118,119,0,0,0,0,203,,0,0,0,33.563025210084035,1.7058823529411764,0.7899159663865546,,94,118,119,0,0,0,0,203,,0,0,0,33.563025210084035,1.7058823529411764,0.7899159663865546,,94,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/asian-sex-doll",116,118,1,0,0,0,379,,0.00847457627118644,0,0,210.5084745762712,3.211864406779661,0.5847457627118644,,69,116,118,1,0,0,0,379,,0.00847457627118644,0,0,210.5084745762712,3.211864406779661,0.5847457627118644,,69,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/big-booty-sex-dolls",108,117,0,1,0,0,405,0,0,0.008547008547008548,0,181.36752136752136,3.4615384615384617,0.4017094017094017,,47,108,117,0,1,0,0,405,0,0,0.008547008547008548,0,181.36752136752136,3.4615384615384617,0.4017094017094017,,47,0,0,,0,,,0,,,0,,0,0,0,,0
