"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (20260622)","Sessions (20260622)","Sessions with cart additions (20260622)","Sessions that reached checkout (20260622)","Sessions that completed checkout (20260622)","Conversion rate (20260622)","Pageviews (20260622)","Checkout conversion rate (20260622)","Added to cart rate (20260622)","Reached checkout rate (20260622)","Sessions that reached and completed checkout (20260622)","Average session duration (20260622)","Pageviews per session (20260622)","Bounce rate (20260622)","Completed checkout rate (20260622)","Bounces (20260622)","Online store visitors (20260622) ","Sessions (20260622) ","Sessions with cart additions (20260622) ","Sessions that reached checkout (20260622) ","Sessions that completed checkout (20260622) ","Conversion rate (20260622) ","Pageviews (20260622) ","Checkout conversion rate (20260622) ","Added to cart rate (20260622) ","Reached checkout rate (20260622) ","Sessions that reached and completed checkout (20260622) ","Average session duration (20260622) ","Pageviews per session (20260622) ","Bounce rate (20260622) ","Completed checkout rate (20260622) ","Bounces (20260622) "
"Homepage","/",1172,1276,24,11,1,0.0007836990595611285,7864,0.09090909090909091,0.018808777429467086,0.008620689655172414,1,263.61833855799375,6.163009404388715,0.2852664576802508,0.1,364,1172,1276,24,11,1,0.0007836990595611285,7864,0.09090909090909091,0.018808777429467086,0.008620689655172414,1,263.61833855799375,6.163009404388715,0.2852664576802508,0.1,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/full-doll",1174,1206,27,11,0,0,5997,0,0.022388059701492536,0.00912106135986733,0,211.44112769485903,4.972636815920398,0.3656716417910448,0,441,1174,1206,27,11,0,0,5997,0,0.022388059701492536,0.00912106135986733,0,211.44112769485903,4.972636815920398,0.3656716417910448,0,441,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/bbw-sex-doll-torso",1016,1075,8,3,0,0,4442,0,0.0074418604651162795,0.0027906976744186047,0,202.21767441860464,4.1320930232558135,0.4046511627906977,0,435,1016,1075,8,3,0,0,4442,0,0.0074418604651162795,0.0027906976744186047,0,202.21767441860464,4.1320930232558135,0.4046511627906977,0,435,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/sex-doll-videos",854,874,0,0,0,0,1773,,0,0,0,63.036613272311214,2.028604118993135,0.7860411899313501,,687,854,874,0,0,0,0,1773,,0,0,0,63.036613272311214,2.028604118993135,0.7860411899313501,,687,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/robotic-sex-doll",811,846,13,4,0,0,2710,0,0.015366430260047281,0.004728132387706856,0,143.69976359338062,3.203309692671395,0.5567375886524822,0,471,811,846,13,4,0,0,2710,0,0.015366430260047281,0.004728132387706856,0,143.69976359338062,3.203309692671395,0.5567375886524822,0,471,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/anime-sex-doll",819,842,6,2,0,0,2779,0,0.007125890736342043,0.0023752969121140144,0,124.14964370546318,3.3004750593824226,0.5451306413301663,0,459,819,842,6,2,0,0,2779,0,0.007125890736342043,0.0023752969121140144,0,124.14964370546318,3.3004750593824226,0.5451306413301663,0,459,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/sex-doll-head",795,826,14,4,0,0,4398,0,0.01694915254237288,0.004842615012106538,0,223.93462469733657,5.324455205811138,0.17796610169491525,0,147,795,826,14,4,0,0,4398,0,0.01694915254237288,0.004842615012106538,0,223.93462469733657,5.324455205811138,0.17796610169491525,0,147,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Blog Article","/blogs/featured-blog/how-to-make-fake-pussy",706,722,0,0,0,0,980,,0,0,0,30.209141274238227,1.3573407202216066,0.8795013850415513,,635,706,722,0,0,0,0,980,,0,0,0,30.209141274238227,1.3573407202216066,0.8795013850415513,,635,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/celebrity-sex-dolls",701,716,5,1,0,0,2355,0,0.006983240223463687,0.0013966480446927375,0,135.28212290502793,3.2891061452513966,0.4790502793296089,0,343,701,716,5,1,0,0,2355,0,0.006983240223463687,0.0013966480446927375,0,135.28212290502793,3.2891061452513966,0.4790502793296089,0,343,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/all",602,616,5,2,0,0,2386,0,0.008116883116883116,0.003246753246753247,0,162.01785714285714,3.8733766233766236,0.43344155844155846,0,267,602,616,5,2,0,0,2386,0,0.008116883116883116,0.003246753246753247,0,162.01785714285714,3.8733766233766236,0.43344155844155846,0,267,0,0,0,0,,,0,,0,0,,0,0,0,,0
