"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (20260706)","Sessions (20260706)","Sessions with cart additions (20260706)","Sessions that reached checkout (20260706)","Sessions that completed checkout (20260706)","Conversion rate (20260706)","Pageviews (20260706)","Checkout conversion rate (20260706)","Added to cart rate (20260706)","Reached checkout rate (20260706)","Sessions that reached and completed checkout (20260706)","Average session duration (20260706)","Pageviews per session (20260706)","Bounce rate (20260706)","Completed checkout rate (20260706)","Bounces (20260706)","Online store visitors (20260706) ","Sessions (20260706) ","Sessions with cart additions (20260706) ","Sessions that reached checkout (20260706) ","Sessions that completed checkout (20260706) ","Conversion rate (20260706) ","Pageviews (20260706) ","Checkout conversion rate (20260706) ","Added to cart rate (20260706) ","Reached checkout rate (20260706) ","Sessions that reached and completed checkout (20260706) ","Average session duration (20260706) ","Pageviews per session (20260706) ","Bounce rate (20260706) ","Completed checkout rate (20260706) ","Bounces (20260706) "
"Homepage","/",981,1083,17,6,1,0.0009233610341643582,5916,0.16666666666666666,0.01569713758079409,0.00554016620498615,1,281.2289935364728,5.462603878116344,0.34533702677746997,0.16666666666666666,374,981,1083,17,6,1,0.0009233610341643582,5916,0.16666666666666666,0.01569713758079409,0.00554016620498615,1,281.2289935364728,5.462603878116344,0.34533702677746997,0.16666666666666666,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/full-doll",993,1023,28,16,0,0,4811,0,0.02737047898338221,0.015640273704789834,0,206.63440860215053,4.702834799608993,0.364613880742913,0,373,993,1023,28,16,0,0,4811,0,0.02737047898338221,0.015640273704789834,0,206.63440860215053,4.702834799608993,0.364613880742913,0,373,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/bbw-sex-doll-torso",953,1006,8,4,0,0,4145,0,0.007952286282306162,0.003976143141153081,0,208.40059642147116,4.120278330019881,0.3717693836978131,0,374,953,1006,8,4,0,0,4145,0,0.007952286282306162,0.003976143141153081,0,208.40059642147116,4.120278330019881,0.3717693836978131,0,374,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/robotic-sex-doll",970,990,5,3,0,0,2486,0,0.005050505050505051,0.0030303030303030303,0,92.65959595959596,2.511111111111111,0.602020202020202,0,596,970,990,5,3,0,0,2486,0,0.005050505050505051,0.0030303030303030303,0,92.65959595959596,2.511111111111111,0.602020202020202,0,596,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Blog Article","/blogs/featured-blog/how-to-make-fake-pussy",835,845,0,0,0,0,994,,0,0,0,26.52189349112426,1.1763313609467456,0.8994082840236687,,760,835,845,0,0,0,0,994,,0,0,0,26.52189349112426,1.1763313609467456,0.8994082840236687,,760,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/sex-doll-head",696,726,13,5,1,0.0013774104683195593,3711,0.2,0.01790633608815427,0.006887052341597796,1,217.64462809917356,5.1115702479338845,0.2024793388429752,0.2,147,696,726,13,5,1,0.0013774104683195593,3711,0.2,0.01790633608815427,0.006887052341597796,1,217.64462809917356,5.1115702479338845,0.2024793388429752,0.2,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/anime-sex-doll",636,658,6,3,0,0,2422,0,0.00911854103343465,0.004559270516717325,0,147.46656534954408,3.6808510638297873,0.45896656534954405,0,302,636,658,6,3,0,0,2422,0,0.00911854103343465,0.004559270516717325,0,147.46656534954408,3.6808510638297873,0.45896656534954405,0,302,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/celebrity-sex-dolls",620,636,3,2,0,0,2243,0,0.0047169811320754715,0.0031446540880503146,0,164.37264150943398,3.5267295597484276,0.4229559748427673,0,269,620,636,3,2,0,0,2243,0,0.0047169811320754715,0.0031446540880503146,0,164.37264150943398,3.5267295597484276,0.4229559748427673,0,269,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/all",516,523,7,4,0,0,1641,0,0.01338432122370937,0.0076481835564053535,0,149.2772466539197,3.1376673040152965,0.4627151051625239,0,242,516,523,7,4,0,0,1641,0,0.01338432122370937,0.0076481835564053535,0,149.2772466539197,3.1376673040152965,0.4627151051625239,0,242,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/furry-sex-doll",444,470,3,0,0,0,1273,,0.006382978723404255,0,0,131.76808510638298,2.7085106382978723,0.5553191489361702,,261,444,470,3,0,0,0,1273,,0.006382978723404255,0,0,131.76808510638298,2.7085106382978723,0.5553191489361702,,261,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/sex-doll-videos",434,450,2,1,0,0,1261,0,0.0044444444444444444,0.0022222222222222222,0,91.07333333333334,2.8022222222222224,0.7466666666666667,0,336,434,450,2,1,0,0,1261,0,0.0044444444444444444,0.0022222222222222222,0,91.07333333333334,2.8022222222222224,0.7466666666666667,0,336,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/fake-ass-sex-toy",404,428,7,3,0,0,1450,0,0.016355140186915886,0.007009345794392523,0,164.33878504672896,3.3878504672897196,0.4485981308411215,0,192,404,428,7,3,0,0,1450,0,0.016355140186915886,0.007009345794392523,0,164.33878504672896,3.3878504672897196,0.4485981308411215,0,192,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Blog Article","/blogs/featured-blog/how-to-diy-an-sex-doll-you",408,413,0,0,0,0,547,,0,0,0,31.53510895883777,1.324455205811138,0.8668280871670703,,358,408,413,0,0,0,0,547,,0,0,0,31.53510895883777,1.324455205811138,0.8668280871670703,,358,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/sex-doll-torso-dildo-for-woman",383,397,2,1,0,0,1388,0,0.005037783375314861,0.0025188916876574307,0,174.71788413098236,3.496221662468514,0.43828715365239296,0,174,383,397,2,1,0,0,1388,0,0.005037783375314861,0.0025188916876574307,0,174.71788413098236,3.496221662468514,0.43828715365239296,0,174,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/femboys-sex-doll",376,381,2,0,0,0,1205,,0.005249343832020997,0,0,109.32020997375328,3.1627296587926508,0.4881889763779528,,186,376,381,2,0,0,0,1205,,0.005249343832020997,0,0,109.32020997375328,3.1627296587926508,0.4881889763779528,,186,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/fake-pussy-fake-vagina-sex-toys",352,362,10,6,0,0,959,0,0.027624309392265192,0.016574585635359115,0,77.40331491712708,2.649171270718232,0.5248618784530387,0,190,352,362,10,6,0,0,959,0,0.027624309392265192,0.016574585635359115,0,77.40331491712708,2.649171270718232,0.5248618784530387,0,190,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/shemale-sex-doll-torso-1",336,342,4,1,0,0,1330,0,0.011695906432748537,0.0029239766081871343,0,210.71637426900585,3.888888888888889,0.3713450292397661,0,127,336,342,4,1,0,0,1330,0,0.011695906432748537,0.0029239766081871343,0,210.71637426900585,3.888888888888889,0.3713450292397661,0,127,0,0,0,0,,,0,,0,0,,0,0,0,,0
